miRNA,disease,reference
hsa-miR-368,miyoshi myopathy (MM),miR2Disease
hsa-miR-368,nemaline myopathy (NM),miR2Disease
hsa-miR-368,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-369-5p,dermatomyositis (DM),miR2Disease
hsa-miR-369-5p,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-369-5p,facioscapulohumeral muscular dystrophy (FSHD),miR2Disease
hsa-miR-369-5p,nemaline myopathy (NM),miR2Disease
hsa-miR-370,cholangiocarcinoma,miR2Disease
hsa-miR-370,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-370,prostate cancer,miR2Disease
hsa-miR-371,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-371,testicular germ cell tumor,miR2Disease
hsa-miR-372,lung cancer,miR2Disease
hsa-miR-372,testicular germ cell tumor,miR2Disease
hsa-miR-372,acute myeloid leukemia (AML),miR2Disease
hsa-miR-372,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-373,breast cancer,miR2Disease
hsa-miR-373,testicular germ cell tumor,miR2Disease
hsa-miR-182,prostate cancer,miR2Disease
hsa-miR-182*,prostate cancer,miR2Disease
hsa-miR-183,lung cancer,miR2Disease
hsa-miR-183,prostate cancer,miR2Disease
hsa-miR-184,prostate cancer,miR2Disease
hsa-miR-206,rhabdomyosarcoma,miR2Disease
xenotransplanted mice by promoting myogenic differentiation.,,miR2Disease
hsa-miR-208,myocardial injury,miR2Disease
hsa-miR-20a,kidney cancer,miR2Disease
hsa-miR-20a,lung cancer,miR2Disease
hsa-miR-20b,kidney cancer,miR2Disease
hsa-miR-21,kidney cancer,miR2Disease
hsa-miR-21,myocardial infarction,miR2Disease
hsa-miR-21,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-21,cervical cancer,miR2Disease
hsa-miR-21,cholesteatoma,miR2Disease
hsa-miR-210,pancreatic cancer,miR2Disease
hsa-miR-210,lung cancer,miR2Disease
hsa-miR-210,kidney cancer,miR2Disease
hsa-miR-214,kidney cancer,miR2Disease
hsa-miR-218,lung cancer,miR2Disease
hsa-miR-22,lung cancer,miR2Disease
hsa-miR-221,prostate cancer,miR2Disease
hsa-miR-221,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-222,pancreatic cancer,miR2Disease
hsa-miR-222,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-222,prostate cancer,miR2Disease
hsa-miR-223,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-23a,cardiac hypertrophy,miR2Disease
hsa-miR-26a,kidney cancer,miR2Disease
hsa-miR-27a,breast cancer,miR2Disease
hsa-miR-27a,kidney cancer,miR2Disease
hsa-miR-29a,kidney cancer,miR2Disease
hsa-miR-29a,neuroblastoma (NB),miR2Disease
hsa-miR-29b,neuroblastoma (NB),miR2Disease
hsa-miR-29b,kidney cancer,miR2Disease
hsa-miR-34a,pancreatic cancer,miR2Disease
hsa-miR-34b,pancreatic cancer,miR2Disease
hsa-miR-34c,pancreatic cancer,miR2Disease
hsa-miR-375,prostate cancer,miR2Disease
hsa-miR-378,kidney cancer,miR2Disease
hsa-miR-423,lung cancer,miR2Disease
hsa-miR-424,kidney cancer,miR2Disease
hsa-miR-424,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-425-5p,lung cancer,miR2Disease
hsa-miR-451,lung cancer,miR2Disease
hsa-miR-489,kidney cancer,miR2Disease
hsa-miR-497,lung cancer,miR2Disease
hsa-miR-511,lung cancer,miR2Disease
hsa-miR-532-5p,kidney cancer,miR2Disease
hsa-miR-599,multiple sclerosis,miR2Disease
hsa-miR-661,breast cancer,miR2Disease
hsa-miR-7,Parkinson's disease,miR2Disease
hsa-miR-7,lung cancer,miR2Disease
hsa-miR-720,kidney cancer,miR2Disease
hsa-miR-107,lung cancer,miR2Disease
hsa-miR-107,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-107,schizophrenia,miR2Disease
hsa-miR-122,hepatocellular carcinoma (HCC),miR2Disease
hepatic phenotype and gain of metastatic properties.,,miR2Disease
hsa-miR-122,kidney cancer,miR2Disease
hsa-miR-125a,type 2 diabetes,miR2Disease
hsa-miR-125a-5p,lung cancer,miR2Disease
of lung cancer.,,miR2Disease
hsa-miR-122a,gastric cancer (stomach cancer),miR2Disease
hsa-miR-122a,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-126,kidney cancer,miR2Disease
hsa-miR-126,lung cancer,miR2Disease
hsa-miR-126*,lung cancer,miR2Disease
hsa-miR-128,neuroblastoma,miR2Disease
hsa-miR-130a,lung cancer,miR2Disease
hsa-miR-133b,lung cancer,miR2Disease
hsa-miR-135a,Hodgkin's lymphoma,miR2Disease
hsa-miR-139,lung cancer,miR2Disease
hsa-miR-141,lung cancer,miR2Disease
hsa-miR-199a,Intrahepatic cholangiocarcinoma (ICC),miR2Disease
hsa-miR-199a*,Intrahepatic cholangiocarcinoma (ICC),miR2Disease
hsa-miR-214,Intrahepatic cholangiocarcinoma (ICC),miR2Disease
hsa-miR-22,Intrahepatic cholangiocarcinoma (ICC),miR2Disease
hsa-miR-155,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-196a,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-208a,cardiac hypertrophy,miR2Disease
hsa-miR-200c,lung cancer,miR2Disease
hsa-miR-429,lung cancer,miR2Disease
hsa-miR-221,bladder cancer,miR2Disease
hsa-miR-221,pancreatic cancer,miR2Disease
hsa-miR-140,colorectal cancer,miR2Disease
hsa-miR-140,osteosarcoma,miR2Disease
hsa-miR-21,colorectal cancer,miR2Disease
hsa-miR-16,prostate cancer,miR2Disease
hsa-miR-100,nasopharyngeal carcinoma (NPC),miR2Disease
hsa-miR-10a,pancreatic cancer,miR2Disease
hsa-miR-1,lung cancer,miR2Disease
hsa-miR-143,lung cancer,miR2Disease
hsa-miR-146b,lung cancer,miR2Disease
hsa-miR-31,lung cancer,miR2Disease
hsa-miR-377,lung cancer,miR2Disease
hsa-miR-200a,lung cancer,miR2Disease
hsa-miR-200b,lung cancer,miR2Disease
hsa-miR-221,acute promyelocytic leukemia (APL),miR2Disease
hsa-miR-128b,acute promyelocytic leukemia (APL),miR2Disease
hsa-miR-127,Intrahepatic cholangiocarcinoma (ICC),miR2Disease
hsa-miR-376a,Intrahepatic cholangiocarcinoma (ICC),miR2Disease
hsa-miR-424,Intrahepatic cholangiocarcinoma (ICC),miR2Disease
hsa-miR-17-3p,prostate cancer,miR2Disease
hsa-miR-34a,glioblastoma,miR2Disease
hsa-miR-34a,glioma,miR2Disease
hsa-miR-34a,medulloblastoma,miR2Disease
hsa-miR-1,myocardial infarction,miR2Disease
hsa-miR-130b,glioma,miR2Disease
hsa-miR-140,glioma,miR2Disease
hsa-miR-15a,glioma,miR2Disease
hsa-miR-16,glioma,miR2Disease
hsa-miR-184,glioma,miR2Disease
hsa-miR-19a,glioma,miR2Disease
hsa-miR-20a,glioma,miR2Disease
hsa-miR-21,glioma,miR2Disease
hsa-miR-210,glioma,miR2Disease
hsa-miR-25,glioma,miR2Disease
hsa-miR-28,glioma,miR2Disease
hsa-miR-328,glioma,miR2Disease
hsa-miR-9,glioma,miR2Disease
hsa-miR-17,glioma,miR2Disease
hsa-miR-200a,Hodgkin's lymphoma,miR2Disease
hsa-miR-520a,Hodgkin's lymphoma,miR2Disease
hsa-miR-614,Hodgkin's lymphoma,miR2Disease
hsa-miR-140,Hodgkin's lymphoma,miR2Disease
hsa-miR-155,Hodgkin's lymphoma,miR2Disease
hsa-miR-16,Hodgkin's lymphoma,miR2Disease
hsa-miR-186,Hodgkin's lymphoma,miR2Disease
hsa-miR-18a,Hodgkin's lymphoma,miR2Disease
hsa-miR-196a,Hodgkin's lymphoma,miR2Disease
hsa-miR-20a,Hodgkin's lymphoma,miR2Disease
hsa-miR-21,Hodgkin's lymphoma,miR2Disease
hsa-miR-30a-5p,Hodgkin's lymphoma,miR2Disease
hsa-miR-181b,Oral Carcinoma,miR2Disease
hsa-miR-21,Oral Carcinoma,miR2Disease
hsa-miR-345,Oral Carcinoma,miR2Disease
hsa-miR-30b,Hodgkin's lymphoma,miR2Disease
hsa-miR-374,Hodgkin's lymphoma,miR2Disease
hsa-miR-10b,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-let-7c,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-let-7d,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-let-7e,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-103,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-107,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-130a,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-140,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-183,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-200c,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-203,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-375,esophageal cancer,miR2Disease
hsa-miR-192,esophageal cancer,miR2Disease
hsa-miR-194,esophageal cancer,miR2Disease
hsa-miR-21,esophageal cancer,miR2Disease
hsa-miR-21,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-26a-1,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-27b,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-29b,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-30a,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-122a,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-126,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-132,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-151,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-154,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-16-1,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-17,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-187,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-22,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-29c,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-210,head and neck cancer,miR2Disease
hsa-let-7a,laryngeal carcinoma,miR2Disease
hsa-miR-203,esophageal cancer,miR2Disease
hsa-miR-30c,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-30d,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-31,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-33,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-34a,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-95,non-alcoholic fatty liver disease (NAFLD),miR2Disease
hsa-miR-223,esophageal cancer,miR2Disease
hsa-miR-22,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-223,essential thrombocythemia (ET),miR2Disease
hsa-miR-146b,primary myelofibrosis,miR2Disease
hsa-miR-223,primary myelofibrosis,miR2Disease
hsa-miR-26a,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-26b,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-29a,lung cancer,miR2Disease
hsa-let-7a,lung cancer,miR2Disease
hsa-miR-17,Polycystic Kidney Disease,miR2Disease
hsa-miR-150,sepsis,miR2Disease
hsa-miR-106b,colorectal cancer,miR2Disease
hsa-miR-130b,colorectal cancer,miR2Disease
hsa-miR-181b,colorectal cancer,miR2Disease
hsa-miR-20b,multiple sclerosis,miR2Disease
hsa-miR-1275,multiple sclerosis,miR2Disease
hsa-miR-142-3p,multiple sclerosis,miR2Disease
hsa-miR-145,multiple sclerosis,miR2Disease
hsa-miR-186,multiple sclerosis,miR2Disease
hsa-miR-223,multiple sclerosis,miR2Disease
hsa-miR-422a,multiple sclerosis,miR2Disease
hsa-miR-491-5p,multiple sclerosis,miR2Disease
hsa-miR-584,multiple sclerosis,miR2Disease
hsa-miR-664,multiple sclerosis,miR2Disease
hsa-miR-181a,breast cancer,miR2Disease
hsa-miR-26a,breast cancer,miR2Disease
hsa-miR-141,colorectal cancer,miR2Disease
hsa-miR-34a,malignant melanoma,miR2Disease
hsa-miR-15,malignant melanoma,miR2Disease
hsa-miR-210,malignant melanoma,miR2Disease
hsa-miR--196a-2,gastric cancer (stomach cancer),miR2Disease
hsa-miR-326,multiple sclerosis,miR2Disease
hsa-miR-143,colorectal cancer,miR2Disease
hsa-miR-200b,breast cancer,miR2Disease
hsa-miR-200c,breast cancer,miR2Disease
hsa-miR-1,colorectal cancer,miR2Disease
hsa-miR-10b,colorectal cancer,miR2Disease
hsa-miR-133a,colorectal cancer,miR2Disease
hsa-miR-139,colorectal cancer,miR2Disease
hsa-miR-145,colorectal cancer,miR2Disease
hsa-miR-195,colorectal cancer,miR2Disease
hsa-miR-30a-3p,colorectal cancer,miR2Disease
hsa-miR-30a-5p,colorectal cancer,miR2Disease
hsa-miR-30c,colorectal cancer,miR2Disease
hsa-miR-378*,colorectal cancer,miR2Disease
hsa-miR-422a,colorectal cancer,miR2Disease
hsa-miR-422b,colorectal cancer,miR2Disease
hsa-miR-497,colorectal cancer,miR2Disease
hsa-miR-203,colorectal cancer,miR2Disease
hsa-miR-34a,colorectal cancer,miR2Disease
hsa-miR-95,colorectal cancer,miR2Disease
hsa-miR-106a,colorectal cancer,miR2Disease
hsa-miR-19a,colorectal cancer,miR2Disease
hsa-miR-19b,colorectal cancer,miR2Disease
hsa-miR-20a,colorectal cancer,miR2Disease
hsa-miR-224,colorectal cancer,miR2Disease
hsa-miR-25,colorectal cancer,miR2Disease
hsa-miR-29a,colorectal cancer,miR2Disease
hsa-miR-96,colorectal cancer,miR2Disease
hsa-miR-17-5p,colorectal cancer,miR2Disease
hsa-miR-182,colorectal cancer,miR2Disease
hsa-miR-183,colorectal cancer,miR2Disease
hsa-miR-18a,colorectal cancer,miR2Disease
hsa-miR-29b,colorectal cancer,miR2Disease
hsa-miR-93,colorectal cancer,miR2Disease
hsa-miR-31,colorectal cancer,miR2Disease
hsa-miR-124,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-203,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-126,asthma,miR2Disease
hsa-miR-21,bladder cancer,miR2Disease
hsa-miR-100,bladder cancer,miR2Disease
hsa-miR-99a,bladder cancer,miR2Disease
hsa-miR-29b,acute myelogeneous leukemia (AML),miR2Disease
hsa-let-7b,multiple myeloma (MM),miR2Disease
hsa-miR-140-3p,multiple myeloma (MM),miR2Disease
hsa-let-7e,multiple myeloma (MM),miR2Disease
hsa-miR-125a-5p,multiple myeloma (MM),miR2Disease
hsa-miR-99b,multiple myeloma (MM),miR2Disease
hsa-miR-15a,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-16,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-199b,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-26a,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-29,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-34,papillary thyroid carcinoma (PTC),miR2Disease
hsa-let-7b,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-106,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-193,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-200a,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-222,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-141,ovarian cancer (OC),miR2Disease
hsa-miR-200a,ovarian cancer (OC),miR2Disease
hsa-miR-200b,ovarian cancer (OC),miR2Disease
hsa-miR-200c,ovarian cancer (OC),miR2Disease
hsa-miR-429,ovarian cancer (OC),miR2Disease
hsa-miR-214,cervical cancer,miR2Disease
hsa-miR-500,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-31a,breast cancer,miR2Disease
miR-BART21,nasopharyngeal carcinoma (NPC),miR2Disease
miR-BART22,nasopharyngeal carcinoma (NPC),miR2Disease
hsa-miR-125a,ovarian cancer (OC),miR2Disease
hsa-miR-16-1,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-16-1,mantle cell lymphoma (MCL),miR2Disease
hsa-miR-16-1,pituitary adenoma,miR2Disease
hsa-miR-16-1,pancreatic cancer,miR2Disease
hsa-miR-16-2,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-164,pituitary adenoma,miR2Disease
hsa-miR-170,breast cancer,miR2Disease
hsa-miR-172a-2,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-17-3p,lung cancer,miR2Disease
hsa-miR-17-3p,anaplastic thyroid carcinoma (ATC),miR2Disease
hsa-miR-17-3p,MYC-rearranged lymphoma,miR2Disease
hsa-miR-17-3p,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-17-3p,malignant lymphoma,miR2Disease
hsa-miR-409-3p,dermatomyositis (DM),miR2Disease
hsa-miR-409-3p,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-409-3p,miyoshi myopathy (MM),miR2Disease
hsa-miR-409-3p,nemaline myopathy (NM),miR2Disease
hsa-miR-419,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-422a,ovarian cancer (OC),miR2Disease
hsa-miR-422b,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-423,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-423,nemaline myopathy (NM),miR2Disease
hsa-miR-423,primary biliary cirrhosis (PBC),miR2Disease
hsa-miR-637,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-637,ovarian cancer (OC),miR2Disease
hsa-miR-642,uterine leiomyoma (ULM),miR2Disease
hsa-miR-648,ovarian cancer (OC),miR2Disease
hsa-miR-652,autism spectrum disorder (ASD),miR2Disease
hsa-miR-652,uveal melanoma,miR2Disease
hsa-miR-657,ovarian cancer (OC),miR2Disease
hsa-miR-662,ovarian cancer (OC),miR2Disease
hsa-miR-663,breast cancer,miR2Disease
hsa-miR-663,ovarian cancer (OC),miR2Disease
hsa-miR-7,glioblastoma,miR2Disease
hsa-miR-7,autism spectrum disorder (ASD),miR2Disease
hsa-miR-7,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-7,schizophrenia,miR2Disease
hsa-miR-7-1,pituitary adenoma,miR2Disease
hsa-miR-7-2,kidney cancer,miR2Disease
hsa-miR-7-3,chronic pancreatitis,miR2Disease
hsa-miR-7-3,colorectal cancer,miR2Disease
hsa-miR-7-3,pituitary adenoma,miR2Disease
hsa-miR-802,Down syndrome (DS),miR2Disease
hsa-miR-9,metabolic disease,miR2Disease
hsa-miR-9,recurrent ovarian cancer,miR2Disease
hsa-miR-9,Alzheimer's disease,miR2Disease
